Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9533378,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,"Hearne, Kevin",,"=""0345522478""","=""9780345522474""",5.0,Del Rey,Mass Market Paperback,304,2011,2011,,2014/02/10,,,read,,,,1,0
9595620,"Hammered (The Iron Druid Chronicles, #3)",Kevin Hearne,"Hearne, Kevin",,"=""0345522486""","=""9780345522481""",0,Random House Publishing Group,Mass Market Paperback,336,2011,2011,,2014/02/10,to-read,to-read (#12),to-read,,,,0,0
16096968,"The Core (The Demon Cycle, #5)",Peter V. Brett,"Brett, Peter V.",,"=""0345531507""","=""9780345531506""",0,Del Rey,Hardcover,781,2017,2017,,2014/02/10,to-read,to-read (#11),to-read,,,,0,0
13630171,"The Skull Throne (Demon Cycle, #4)",Peter V. Brett,"Brett, Peter V.",,"=""0345531485""","=""9780345531483""",0,Del Rey,Hardcover,681,2015,2015,,2014/02/10,to-read,to-read (#10),to-read,,,,0,0
9268487,"The Daylight War (Demon Cycle, #3)",Peter V. Brett,"Brett, Peter V.",,"=""0345503821""","=""9780345503824""",5.0,Random House Del Ray,Hardcover,639,2013,2013,,2014/02/10,,,read,,,,1,0
6736971,"The Desert Spear (The Demon Cycle, #2)",Peter V. Brett,"Brett, Peter V.",,"=""0345503813""","=""9780345503817""",5.0,Del Rey,Hardcover,579,2010,2010,,2014/02/10,,,read,,,,1,0
3428935,The Warded Man (Demon Cycle #1),Peter V. Brett,"Brett, Peter V.",,"=""0345503805""","=""9780345503800""",5.0,Random House,Hardcover,416,2009,2008,,2014/02/10,,,read,,,,1,0
17250966,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,Tor Books,Kindle Edition,1231,2020,2020,,2014/02/10,to-read,to-read (#5),to-read,,,,0,0
17250961,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""057509334X""","=""9780575093348""",0,Gollancz ,Paperback,1243,2017,2017,,2014/02/10,to-read,to-read (#4),to-read,,,,0,0
11543195,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0575097396""","=""9780575097391""",5.0,Gollancz,Paperback,1088,2014,2014,,2014/02/10,,,read,,,,1,0
6382055,"A Dream of Spring (A Song of Ice and Fire, #7)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",0,Harper Voyager,Hardcover,,,,,2014/02/10,to-read,to-read (#1),to-read,,,,0,0
12111823,"The Winds of Winter (A Song of Ice and Fire, #6)",George R.R. Martin,"Martin, George R.R.",,"=""0002247410""","=""9780002247412""",0,Harper Voyager,Hardcover,,,,,2014/02/10,to-read,to-read (#2),to-read,,,,0,0
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5.0,Random House Worlds,Kindle Edition,1125,2011,2011,,2014/02/10,,,read,,,,1,0
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5.0,Bantam Books,Mass Market Paperback,1060,2011,2005,,2014/02/10,,,read,,,,1,0
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5.0,Bantam,Mass Market Paperback,1177,2003,2000,,2014/02/10,,,read,,,,1,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5.0,Random House Worlds,Paperback,1009,2002,1998,,2014/02/10,,,read,,,,1,0
12497,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",4.0,Knopf Doubleday Publishing Group,Paperback,309,2006,2005,,2014/02/10,,,read,,,,1,0
